dataset,split,bucket_feature,bucket,method,n_queries,recall_at_5,mrr,ndcg_at_5,reward,reward_delta_vs_train_best,reward_delta_vs_heuristic,rewrite_cost,retrieval_calls,oracle_margin,oracle_tie_count
nfcorpus,test,state_bm25_entropy,mid,Train-best retrieval action,100,0.11182686566627512,0.5026666666666667,0.3592745582430051,0.36316019899960844,0.0,0.0123731997952784,0.0,1.0,0.017483723316912968,5.99
nfcorpus,test,state_bm25_entropy,mid,Heuristic retrieval router,100,0.09903699920432998,0.5035000000000001,0.32496602290106785,0.35078699920433004,-0.0123731997952784,0.0,0.0,1.0,0.017483723316912968,5.99
nfcorpus,test,state_bm25_entropy,mid,Selective retrieval policy,100,0.11623934485145979,0.5588333333333333,0.37366174573284316,0.39565601151812646,0.03249581251851802,0.04486901231379642,0.0,1.0,0.017483723316912968,5.99
nfcorpus,test,state_bm25_entropy,mid,Confidence-gated retrieval policy,100,0.11623934485145979,0.5588333333333333,0.37366174573284316,0.39565601151812646,0.03249581251851802,0.04486901231379642,0.0,1.0,0.017483723316912968,5.99
nfcorpus,test,state_bm25_entropy,mid,Oracle retrieval action,100,0.14078839533972567,0.6459999999999999,0.44356073690836856,0.4625883953397257,0.09942819634011724,0.11180139613539564,0.0012,1.04,0.017483723316912968,5.99
nfcorpus,test,state_bm25_entropy,high,Train-best retrieval action,100,0.06920833149346788,0.41233333333333333,0.32607352675390716,0.27537499816013455,0.0,0.0,0.0,1.0,0.0043122969572180255,6.94
nfcorpus,test,state_bm25_entropy,high,Heuristic retrieval router,100,0.06920833149346788,0.41233333333333333,0.32607352675390716,0.27537499816013455,0.0,0.0,0.0,1.0,0.0043122969572180255,6.94
nfcorpus,test,state_bm25_entropy,high,Selective retrieval policy,100,0.06920833149346788,0.41233333333333333,0.3256897765026625,0.27537499816013455,0.0,0.0,0.0,1.0,0.0043122969572180255,6.94
nfcorpus,test,state_bm25_entropy,high,Confidence-gated retrieval policy,100,0.06920833149346788,0.41233333333333333,0.3256897765026625,0.27537499816013455,0.0,0.0,0.0,1.0,0.0043122969572180255,6.94
nfcorpus,test,state_bm25_entropy,high,Oracle retrieval action,100,0.07931806834196971,0.4643333333333334,0.38083248791564295,0.3111847350086364,0.03580973684850186,0.03580973684850186,0.0003,1.01,0.0043122969572180255,6.94
nfcorpus,test,predicted_action_margin,low,Train-best retrieval action,100,0.0683054579033408,0.5615,0.4087098305557171,0.3490554579033408,0.0,-0.0007499104370961018,0.0,1.0,0.000999999999999999,6.62
nfcorpus,test,predicted_action_margin,low,Heuristic retrieval router,100,0.06880536834043689,0.562,0.40694122278052525,0.3498053683404369,0.0007499104370961018,0.0,0.0,1.0,0.000999999999999999,6.62
nfcorpus,test,predicted_action_margin,low,Selective retrieval policy,100,0.06882131047898393,0.5820000000000001,0.41622790569677937,0.3598213104789839,0.010765852575643109,0.010015942138547007,0.0,1.0,0.000999999999999999,6.62
nfcorpus,test,predicted_action_margin,low,Confidence-gated retrieval policy,100,0.06882131047898393,0.5820000000000001,0.41622790569677937,0.3598213104789839,0.010765852575643109,0.010015942138547007,0.0,1.0,0.000999999999999999,6.62
nfcorpus,test,predicted_action_margin,low,Oracle retrieval action,100,0.08447495777783823,0.6326666666666667,0.4811745496588109,0.40050829111117153,0.05145283320783073,0.050702922770734626,0.0003,1.01,0.000999999999999999,6.62
nfcorpus,test,predicted_action_margin,mid,Train-best retrieval action,100,0.12661685477565274,0.4435,0.31649848147939946,0.34836685477565277,0.0,0.0013905972712240366,0.0,1.0,0.00987384329618372,6.51
nfcorpus,test,predicted_action_margin,mid,Heuristic retrieval router,100,0.12847625750442865,0.43699999999999994,0.2888795462788291,0.34697625750442873,-0.0013905972712240366,0.0,0.0,1.0,0.00987384329618372,6.51
nfcorpus,test,predicted_action_margin,mid,Selective retrieval policy,100,0.1453450241325269,0.47983333333333333,0.3268444675589874,0.38526169079919353,0.03689483602354077,0.038285433294764804,0.0,1.0,0.00987384329618372,6.51
nfcorpus,test,predicted_action_margin,mid,Confidence-gated retrieval policy,100,0.1453450241325269,0.47983333333333333,0.3268444675589874,0.38526169079919353,0.03689483602354077,0.038285433294764804,0.0,1.0,0.00987384329618372,6.51
nfcorpus,test,predicted_action_margin,mid,Oracle retrieval action,100,0.16771853917957139,0.565,0.39971087965547303,0.44991853917957136,0.1015516844039186,0.10294228167514263,0.0003,1.01,0.00987384329618372,6.51
nfcorpus,test,predicted_action_margin,high,Train-best retrieval action,100,0.17170269911811487,0.5246666666666667,0.3484970703341089,0.43403603245144823,0.0,-0.03804139814499302,0.0,1.0,0.018988068450815486,6.16
nfcorpus,test,predicted_action_margin,high,Heuristic retrieval router,100,0.19016076392977446,0.5638333333333333,0.36112040522520134,0.47207743059644125,0.03804139814499302,0.0,0.0,1.0,0.018988068450815486,6.16
nfcorpus,test,predicted_action_margin,high,Selective retrieval policy,100,0.1928674530169902,0.5666666666666668,0.3736040181753396,0.4762007863503236,0.04216475389887536,0.004123355753882341,0.0,1.0,0.018988068450815486,6.16
nfcorpus,test,predicted_action_margin,high,Confidence-gated retrieval policy,100,0.1928674530169902,0.5666666666666668,0.3736040181753396,0.4762007863503236,0.04216475389887536,0.004123355753882341,0.0,1.0,0.018988068450815486,6.16
nfcorpus,test,predicted_action_margin,high,Oracle retrieval action,100,0.2177784886328694,0.6508333333333333,0.4352036084035103,0.5419951552995361,0.1079591228480879,0.06991772470309487,0.0012,1.04,0.018988068450815486,6.16
nfcorpus,test,oracle_reward_margin,low,Train-best retrieval action,262,0.1166231612639108,0.5120865139949109,0.3652901769654897,0.37266641826136626,0.0,-0.02195038706460062,0.0,1.0,0.0,6.923664122137405
nfcorpus,test,oracle_reward_margin,low,Heuristic retrieval router,262,0.12858627097482184,0.5320610687022901,0.36736114052145963,0.3946168053259669,0.02195038706460062,0.0,0.0,1.0,0.0,6.923664122137405
nfcorpus,test,oracle_reward_margin,low,Selective retrieval policy,262,0.13219688273254662,0.5522264631043257,0.3836939413568828,0.4083101142847095,0.03564369602334322,0.0136933089587426,0.0,1.0,0.0,6.923664122137405
nfcorpus,test,oracle_reward_margin,low,Confidence-gated retrieval policy,262,0.13219688273254662,0.5522264631043257,0.3836939413568828,0.4083101142847095,0.03564369602334322,0.0136933089587426,0.0,1.0,0.0,6.923664122137405
nfcorpus,test,oracle_reward_margin,low,Oracle retrieval action,262,0.15118581251420996,0.6122773536895674,0.4429894751072268,0.45709548172540587,0.08442906346403961,0.06247867639943899,0.00022900763358778625,1.0076335877862594,0.0,6.923664122137405
nfcorpus,test,oracle_reward_margin,high,Train-best retrieval action,38,0.16071665601490048,0.4947368421052631,0.3069608387359013,0.408085077067532,0.0,0.05291921789049647,0.0,1.0,0.07858397828157683,3.026315789473684
nfcorpus,test,oracle_reward_margin,high,Heuristic retrieval router,38,0.13301673637001799,0.4442982456140351,0.24856575294297786,0.3551658591770355,-0.05291921789049647,0.0,0.0,1.0,0.07858397828157683,3.026315789473684
nfcorpus,test,oracle_reward_margin,high,Selective retrieval policy,38,0.1596788286032341,0.4780701754385964,0.29315332914756187,0.3987139163225322,-0.009371160744999774,0.0435480571454967,0.0,1.0,0.07858397828157683,3.026315789473684
nfcorpus,test,oracle_reward_margin,high,Confidence-gated retrieval policy,38,0.1596788286032341,0.4780701754385964,0.29315332914756187,0.3987139163225322,-0.009371160744999774,0.0435480571454967,0.0,1.0,0.07858397828157683,3.026315789473684
nfcorpus,test,oracle_reward_margin,high,Oracle retrieval action,38,0.19438199158697075,0.6429824561403509,0.40909634983384213,0.5127153249203041,0.10463024785277214,0.1575494657432686,0.003157894736842105,1.105263157894737,0.07858397828157683,3.026315789473684
nfcorpus,test,action_reward_std,low,Train-best retrieval action,133,0.10136692561259697,0.40726817042606517,0.3019848315151857,0.3050010108256295,0.0,0.00031081881291195046,0.0,1.0,0.0,8.639097744360901
nfcorpus,test,action_reward_std,low,Heuristic retrieval router,133,0.10136939000770501,0.4066416040100251,0.3026425628425686,0.3046901920127176,-0.00031081881291195046,0.0,0.0,1.0,0.0,8.639097744360901
