dataset,split,logging_seed,behavior_policy,target_method,estimator,estimated_value,true_value,absolute_error,n_queries,match_rate,effective_sample_size,logged_reward,mean_propensity
scifact,test,42,train_best_eps_0.2,Selective retrieval policy,ips,1.17226,1.090488888888889,0.08177111111111102,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Selective retrieval policy,snips,1.0774448529411764,1.090488888888889,0.01304403594771264,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Selective retrieval policy,doubly_robust,0.9810004073394369,1.090488888888889,0.10948848154945212,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,direct_method,1.067195023165042,1.090488888888889,0.023293865723847063,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,ips,1.17226,1.090488888888889,0.08177111111111102,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,snips,1.0774448529411764,1.090488888888889,0.01304403594771264,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,train_best_eps_0.2,Confidence-gated retrieval policy,doubly_robust,0.9810004073394369,1.090488888888889,0.10948848154945212,300,0.26666666666666666,14.586750788643535,1.0496722222222221,0.6973333333333332
scifact,test,42,heuristic_eps_0.2,Train-best retrieval action,direct_method,1.053126684198283,1.0567777777777778,0.0036510935794948907,300,0.08,10.212765957446807,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Train-best retrieval action,ips,0.8014,1.0567777777777778,0.2553777777777778,300,0.08,10.212765957446807,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Train-best retrieval action,snips,0.8347916666666667,1.0567777777777778,0.2219861111111111,300,0.08,10.212765957446807,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Train-best retrieval action,doubly_robust,1.089361889720936,1.0567777777777778,0.032584111943158245,300,0.08,10.212765957446807,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Heuristic retrieval router,direct_method,1.0295187910692745,1.0480666666666665,0.018547875597392016,300,0.84,252.00000000000003,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Heuristic retrieval router,ips,1.0786333333333333,1.0480666666666665,0.030566666666666853,300,0.84,252.00000000000003,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Heuristic retrieval router,snips,1.0700727513227513,1.0480666666666665,0.02200608465608478,300,0.84,252.00000000000003,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Heuristic retrieval router,doubly_robust,1.0626624364256185,1.0480666666666665,0.014595769758952049,300,0.84,252.00000000000003,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Selective retrieval policy,direct_method,1.067195023165042,1.090488888888889,0.023293865723847063,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Selective retrieval policy,ips,1.5397999999999998,1.090488888888889,0.4493111111111108,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Selective retrieval policy,snips,1.2298722044728434,1.090488888888889,0.13938331558395434,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Selective retrieval policy,doubly_robust,1.1349195514209272,1.090488888888889,0.04443066253203809,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,direct_method,1.067195023165042,1.090488888888889,0.023293865723847063,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,ips,1.5397999999999998,1.090488888888889,0.4493111111111108,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,snips,1.2298722044728434,1.090488888888889,0.13938331558395434,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
scifact,test,42,heuristic_eps_0.2,Confidence-gated retrieval policy,doubly_robust,1.1349195514209272,1.090488888888889,0.04443066253203809,300,0.24333333333333335,15.51861238713765,1.0635944444444443,0.7053333333333333
