step,chosen_action,reward,oracle_reward,regret
66,hybrid_keep,-0.03,0.18055555555555555,0.21055555555555555
67,hybrid_keyword,0.47,0.5833333333333333,0.11333333333333329
68,dense_keyword,0.6739130434782609,0.6739130434782609,0.0
69,dense_keyword,0.2857142857142857,0.3214285714285714,0.0357142857142857
70,bm25_keyword,0.0,0.6666666666666666,0.6666666666666666
71,dense_keyword,0.5833333333333333,0.5833333333333333,0.0
72,hybrid_keyword,0.33111111111111113,0.6111111111111112,0.28
73,bm25_keyword,0.23333333333333334,0.23333333333333334,0.0
74,dense_keyword,0.0,0.0,0.0
75,dense_keyword,0.0,0.0,0.0
76,hybrid_keep,-0.03,0.0,0.03
77,dense_keep,0.32407407407407407,0.32407407407407407,0.0
78,bm25_keep,0.0,0.0,0.0
79,dense_keep,0.23333333333333334,0.3,0.06666666666666665
80,bm25_keep,0.7,0.7,0.0
81,bm25_keep,0.6111111111111112,0.6388888888888888,0.02777777777777768
82,bm25_keep,1.0,1.0,0.0
83,dense_keyword,0.9545454545454546,0.9545454545454546,0.0
84,dense_keyword,0.0,0.0,0.0
85,bm25_keep,1.5,1.5,0.0
86,dense_keyword,0.2879746835443038,0.30063291139240506,0.012658227848101278
87,bm25_keep,0.0,0.2722222222222222,0.2722222222222222
88,bm25_keep,0.5740740740740741,0.6481481481481481,0.07407407407407407
89,bm25_keep,0.5344827586206896,0.603448275862069,0.06896551724137934
90,bm25_keyword,0.0,0.0,0.0
91,dense_keep,0.38888888888888884,0.38888888888888884,0.0
92,bm25_keep,0.0,0.0,0.0
93,bm25_keep,0.5833333333333334,0.5833333333333334,0.0
94,bm25_keep,0.0,0.6052631578947368,0.6052631578947368
95,hybrid_keep,0.15333333333333332,0.26666666666666666,0.11333333333333334
96,dense_keyword,0.0,0.1303030303030303,0.1303030303030303
97,dense_keep,0.15031645569620253,0.30063291139240506,0.15031645569620253
98,dense_keyword,0.0,0.0,0.0
99,bm25_keep,0.5909090909090909,0.5909090909090909,0.0
100,dense_keep,0.0,0.0,0.0
101,bm25_keep,0.29,0.29,0.0
102,hybrid_keyword,0.8033333333333332,0.8333333333333333,0.030000000000000027
103,bm25_keep,0.75,0.75,0.0
104,bm25_keyword,0.17532467532467533,0.25432900432900435,0.07900432900432902
105,bm25_keyword,0.0,0.0,0.0
106,bm25_keep,0.5333333333333333,0.5666666666666667,0.033333333333333326
107,hybrid_keep,0.30333333333333334,0.3333333333333333,0.02999999999999997
108,dense_keep,0.1285714285714286,0.1285714285714286,0.0
109,hybrid_keyword,-0.03,0.0,0.03
110,hybrid_keep,0.3866666666666666,0.7777777777777778,0.3911111111111112
