dataset,policy,step,chosen_action,oracle_action,reward,oracle_reward,regret,cumulative_reward,cumulative_oracle_reward,cumulative_regret,moving_average_reward,oracle_match_rate,action_entropy
scifact,Full-information direct method,24,dense_keep,bm25_keyword,0.0,1.5,1.5,18.953333333333333,23.595000000000002,4.6416666666666675,0.7581333333333333,0.12,1.9050464172773456
scifact,Full-information direct method,25,dense_keep,bm25_keyword,0.0,1.5,1.5,18.953333333333333,25.095000000000002,6.1416666666666675,0.7289743589743589,0.11538461538461539,1.9169636088209152
scifact,Full-information direct method,26,dense_keep,bm25_keep,1.5,1.5,0.0,20.453333333333333,26.595000000000002,6.1416666666666675,0.7575308641975309,0.1111111111111111,1.9211064542967686
scifact,Full-information direct method,27,hybrid_keyword,dense_keep,1.22,1.25,0.030000000000000027,21.673333333333332,27.845000000000002,6.171666666666668,0.774047619047619,0.10714285714285714,1.8891641768657057
scifact,Full-information direct method,28,hybrid_keep,bm25_keep,1.47,1.5,0.030000000000000027,23.14333333333333,29.345000000000002,6.201666666666668,0.7980459770114943,0.10344827586206896,1.928517086051376
scifact,Full-information direct method,29,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,24.61333333333333,30.845000000000002,6.231666666666668,0.8204444444444444,0.1,1.8983958159908185
scifact,Full-information direct method,30,hybrid_keyword,bm25_keep,-0.03,0.0,0.03,24.58333333333333,30.845000000000002,6.2616666666666685,0.793010752688172,0.0967741935483871,1.8686645537932227
scifact,Full-information direct method,31,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,26.053333333333327,32.345,6.291666666666669,0.8141666666666667,0.09375,1.8394264763856563
scifact,Full-information direct method,32,hybrid_keyword,dense_keyword,0.97,1.5,0.53,27.023333333333326,33.845,6.821666666666669,0.8188888888888889,0.09090909090909091,1.8107536805595186
scifact,Full-information direct method,33,hybrid_keyword,dense_keep,1.47,1.5,0.030000000000000027,28.493333333333325,35.345,6.851666666666669,0.8380392156862745,0.08823529411764706,1.7826949821376528
scifact,Full-information direct method,34,hybrid_keyword,bm25_keep,1.47,1.5,0.030000000000000027,29.963333333333324,36.845,6.8816666666666695,0.856095238095238,0.08571428571428572,1.7552816925978099
