dataset,split,behavior_policy,target_method,estimator,seed_count,true_value,mean_estimated_value,std_estimated_value,mean_absolute_error,std_absolute_error,ci95_absolute_error_low,ci95_absolute_error_high,mean_match_rate,mean_effective_sample_size
scifact,test,heuristic_eps_0.2,Train-best retrieval action,ips,10,1.056777777777778,1.02343,0.32055347353454416,0.2362091111111111,0.20492927388727816,0.10919263122437078,0.3632255909978514,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Train-best retrieval action,snips,10,1.056777777777778,1.1593232276947187,0.17081626827095867,0.16022622189211477,0.1110730734059596,0.0913824177512447,0.22907002603298485,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Train-best retrieval action,doubly_robust,10,1.056777777777778,1.1288371978831693,0.08587716912085278,0.09039425620174475,0.06376029616417532,0.05087521520926928,0.12991329719422023,0.07266666666666667,9.40363626272843
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,direct_method,10,1.0480666666666667,1.0295187910692747,2.340555645717801e-16,0.018547875597392016,0.0,0.018547875597392016,0.018547875597392016,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,ips,10,1.0480666666666667,1.0444833333333334,0.0332174996643428,0.02324733333333333,0.022741636465650358,0.009151921018937978,0.03734274564772869,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,snips,10,1.0480666666666667,1.0443642440723306,0.018515955771598317,0.014779023086185816,0.010741661676091013,0.008121272202913487,0.021436773969458145,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Heuristic retrieval router,doubly_robust,10,1.0480666666666667,1.0477132853582938,0.016310564017472013,0.014832067901027446,0.0046625802155347024,0.011942170743179069,0.017721965058875824,0.8333333333333334,250.00000000000006
scifact,test,heuristic_eps_0.2,Selective retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Selective retrieval policy,ips,10,1.0904888888888888,1.11882,0.27747372345841426,0.2438466666666667,0.10869915414796398,0.17647423292577083,0.3112191004075626,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Selective retrieval policy,snips,10,1.0904888888888888,1.0834857952146328,0.1288403657505834,0.10936637577742366,0.058002825911918306,0.07341585181827626,0.14531689973657105,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Selective retrieval policy,doubly_robust,10,1.0904888888888888,1.098948864869153,0.12624805832364405,0.09570885407973728,0.07642063022633651,0.04834285673855374,0.14307485142092083,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,direct_method,10,1.0904888888888888,1.0671950231650418,2.340555645717801e-16,0.023293865723847063,0.0,0.023293865723847063,0.023293865723847063,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,ips,10,1.0904888888888888,1.11882,0.27747372345841426,0.2438466666666667,0.10869915414796398,0.17647423292577083,0.3112191004075626,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,snips,10,1.0904888888888888,1.0834857952146328,0.1288403657505834,0.10936637577742366,0.058002825911918306,0.07341585181827626,0.14531689973657105,0.236,13.63641488114881
scifact,test,heuristic_eps_0.2,Confidence-gated retrieval policy,doubly_robust,10,1.0904888888888888,1.098948864869153,0.12624805832364405,0.09570885407973728,0.07642063022633651,0.04834285673855374,0.14307485142092083,0.236,13.63641488114881
