dataset,split,bucket_feature,bucket,method,n_queries,recall_at_5,mrr,ndcg_at_5,reward,reward_delta_vs_train_best,reward_delta_vs_heuristic,rewrite_cost,retrieval_calls,oracle_margin,oracle_tie_count
scifact,test,oracle_reward_margin,high,Heuristic retrieval router,38,0.46140350877192976,0.2197368421052631,0.2634751478275064,0.5665350877192982,-0.09864035087719292,0.0,0.004736842105263157,1.1578947368421053,0.2879824561403508,2.473684210526316
scifact,test,oracle_reward_margin,high,Selective retrieval policy,38,0.6333333333333333,0.2921052631578947,0.3614714686305371,0.7651754385964913,0.1000000000000002,0.19864035087719312,0.014210526315789474,1.4736842105263157,0.2879824561403508,2.473684210526316
scifact,test,oracle_reward_margin,high,Confidence-gated retrieval policy,38,0.6333333333333333,0.2921052631578947,0.3614714686305371,0.7651754385964913,0.1000000000000002,0.19864035087719312,0.014210526315789474,1.4736842105263157,0.2879824561403508,2.473684210526316
scifact,test,oracle_reward_margin,high,Oracle retrieval action,38,0.9631578947368421,0.6118421052631579,0.6843989376651846,1.2682894736842105,0.6031140350877194,0.7017543859649124,0.0007894736842105263,1.0263157894736843,0.2879824561403508,2.473684210526316
scifact,test,action_reward_std,low,Train-best retrieval action,156,0.7211538461538461,0.7211538461538461,0.71951331375857,1.0517307692307691,0.0,-0.02865384615384614,0.03,2.0,0.0,7.2756410256410255
scifact,test,action_reward_std,low,Heuristic retrieval router,156,0.7211538461538461,0.7211538461538461,0.7189987034325969,1.0803846153846153,0.02865384615384614,0.0,0.001346153846153846,1.044871794871795,0.0,7.2756410256410255
scifact,test,action_reward_std,low,Selective retrieval policy,156,0.7211538461538461,0.7211538461538461,0.7189987034325969,1.0715384615384618,0.019807692307692637,-0.008846153846153504,0.010192307692307691,1.3397435897435896,0.0,7.2756410256410255
scifact,test,action_reward_std,low,Confidence-gated retrieval policy,156,0.7211538461538461,0.7211538461538461,0.7189987034325969,1.0715384615384618,0.019807692307692637,-0.008846153846153504,0.010192307692307691,1.3397435897435896,0.0,7.2756410256410255
scifact,test,action_reward_std,low,Oracle retrieval action,156,0.7211538461538461,0.7211538461538461,0.7189987034325969,1.0817307692307692,0.030000000000000027,0.0013461538461538858,0.0,1.0,0.0,7.2756410256410255
scifact,test,action_reward_std,high,Train-best retrieval action,144,0.8075231481481482,0.5694444444444444,0.6233609347489664,1.0622453703703705,0.0,0.04918981481481488,0.030000000000000002,2.0,0.07599537037037035,4.041666666666667
scifact,test,action_reward_std,high,Heuristic retrieval router,144,0.7467592592592592,0.5363425925925926,0.5777379377974066,1.0130555555555556,-0.04918981481481488,0.0,0.0018750000000000001,1.0625,0.07599537037037035,4.041666666666667
scifact,test,action_reward_std,high,Selective retrieval policy,144,0.8305555555555555,0.5905092592592592,0.6392000375630568,1.1110185185185186,0.04877314814814815,0.09796296296296303,0.014791666666666667,1.4930555555555556,0.07599537037037035,4.041666666666667
scifact,test,action_reward_std,high,Confidence-gated retrieval policy,144,0.8305555555555555,0.5905092592592592,0.6392000375630568,1.1110185185185186,0.04877314814814815,0.09796296296296303,0.014791666666666667,1.4930555555555556,0.07599537037037035,4.041666666666667
scifact,test,action_reward_std,high,Oracle retrieval action,144,0.9656250000000001,0.751851851851852,0.7996135248100015,1.3411342592592592,0.27888888888888874,0.3280787037037036,0.00041666666666666664,1.0138888888888888,0.07599537037037035,4.041666666666667
scifact,test,bm25_dense_doc_overlap,low,Train-best retrieval action,129,0.6585271317829458,0.5549095607235142,0.5750984999635236,0.9059819121447028,0.0,0.06104651162790686,0.030000000000000002,2.0,0.04568475452196382,5.6976744186046515
scifact,test,bm25_dense_doc_overlap,low,Heuristic retrieval router,129,0.5887596899224806,0.5165374677002583,0.5294640493411139,0.8449354005167959,-0.06104651162790686,0.0,0.0020930232558139536,1.069767441860465,0.04568475452196382,5.6976744186046515
scifact,test,bm25_dense_doc_overlap,low,Selective retrieval policy,129,0.6751937984496124,0.5594315245478035,0.5828092423598648,0.9418863049095607,0.035904392764857906,0.09695090439276477,0.013023255813953487,1.434108527131783,0.04568475452196382,5.6976744186046515
scifact,test,bm25_dense_doc_overlap,low,Confidence-gated retrieval policy,129,0.6751937984496124,0.5594315245478035,0.5828092423598648,0.9418863049095607,0.035904392764857906,0.09695090439276477,0.013023255813953487,1.434108527131783,0.04568475452196382,5.6976744186046515
scifact,test,bm25_dense_doc_overlap,low,Oracle retrieval action,129,0.7387596899224808,0.6334625322997416,0.6554440827999066,1.0554909560723515,0.14950904392764874,0.2105555555555556,0.0,1.0,0.04568475452196382,5.6976744186046515
scifact,test,bm25_dense_doc_overlap,mid,Train-best retrieval action,93,0.8028673835125447,0.6854838709677419,0.711083397521462,1.1156093189964158,0.0,-0.03713261648745525,0.029999999999999995,2.0,0.020698924731182795,5.827956989247312
scifact,test,bm25_dense_doc_overlap,mid,Heuristic retrieval router,93,0.8136200716845877,0.6808243727598566,0.7071047628277382,1.152741935483871,0.03713261648745525,0.0,0.0012903225806451613,1.043010752688172,0.020698924731182795,5.827956989247312
scifact,test,bm25_dense_doc_overlap,mid,Selective retrieval policy,93,0.8136200716845877,0.6885304659498208,0.7105344531788563,1.1475627240143367,0.03195340501792088,-0.005179211469534373,0.01032258064516129,1.3440860215053763,0.020698924731182795,5.827956989247312
scifact,test,bm25_dense_doc_overlap,mid,Confidence-gated retrieval policy,93,0.8136200716845877,0.6885304659498208,0.7105344531788563,1.1475627240143367,0.03195340501792088,-0.005179211469534373,0.01032258064516129,1.3440860215053763,0.020698924731182795,5.827956989247312
scifact,test,bm25_dense_doc_overlap,mid,Oracle retrieval action,93,0.8817204301075269,0.7623655913978493,0.7882946572098213,1.2625806451612904,0.14697132616487463,0.10983870967741938,0.0003225806451612903,1.010752688172043,0.020698924731182795,5.827956989247312
scifact,test,bm25_dense_doc_overlap,high,Train-best retrieval action,78,0.8867521367521368,0.7585470085470085,0.7908921677615073,1.236025641025641,0.0,-0.023183760683760823,0.02999999999999999,2.0,0.04006410256410257,5.641025641025641
scifact,test,bm25_dense_doc_overlap,high,Heuristic retrieval router,78,0.877136752136752,0.7664529914529914,0.7858519932093376,1.2592094017094018,0.023183760683760823,0.0,0.0011538461538461537,1.0384615384615385,0.04006410256410257,5.641025641025641
scifact,test,bm25_dense_doc_overlap,high,Selective retrieval policy,78,0.8888888888888891,0.7863247863247863,0.8070064965962704,1.268205128205128,0.032179487179487154,0.00899572649572633,0.013846153846153847,1.4615384615384615,0.04006410256410257,5.641025641025641
scifact,test,bm25_dense_doc_overlap,high,Confidence-gated retrieval policy,78,0.8888888888888891,0.7863247863247863,0.8070064965962704,1.268205128205128,0.032179487179487154,0.00899572649572633,0.013846153846153847,1.4615384615384615,0.04006410256410257,5.641025641025641
scifact,test,bm25_dense_doc_overlap,high,Oracle retrieval action,78,0.9519230769230769,0.8737179487179488,0.890313532133641,1.388397435897436,0.15237179487179509,0.12918803418803426,0.0003846153846153846,1.0128205128205128,0.04006410256410257,5.641025641025641
